Designator,Mid X,Mid Y,Rotation,Layer
A1,162.0,-119.6,270.0,top
C1,69.1,-112.275,0.0,bottom
C10,133.4875,-114.325,0.0,bottom
C11,174.6,-104.3,270.0,top
C12,62.2,-110.480001,90.0,top
C13,62.150003,-125.9,90.0,top
C14,49.15,-118.000001,90.0,top
C15,179.9,-79.625,270.0,top
C16,185.125,-58.35,90.0,top
C17,177.075,-79.625,270.0,top
C18,75.1,-118.4,90.0,top
C19,117.05,-120.85,180.0,top
C2,183.425,-51.65,270.0,top
C20,129.6,-120.85,180.0,top
C21,172.4,-104.3,270.0,top
C22,115.6875,-118.185724,180.0,top
C3,183.475,-86.060975,270.0,top
C4,133.5,-112.3,0.0,bottom
C6,181.49,-42.215,270.0,top
C8,177.897349,-97.8,0.0,top
C9,69.1,-114.3,0.0,bottom
D1,185.3,-96.099999,270.0,top
D10,68.0,-40.0,0.0,top
D100,44.0,-52.0,0.0,top
D101,48.0,-52.0,0.0,top
D102,52.0,-52.0,0.0,top
D103,56.0,-52.0,0.0,top
D104,60.0,-52.0,0.0,top
D105,64.0,-52.0,0.0,top
D106,68.0,-52.0,0.0,top
D107,72.0,-52.0,0.0,top
D108,76.0,-52.0,0.0,top
D109,80.0,-52.0,0.0,top
D11,72.0,-40.0,0.0,top
D110,84.0,-52.0,0.0,top
D111,88.0,-52.0,0.0,top
D112,92.0,-52.0,0.0,top
D113,96.0,-52.0,0.0,top
D114,100.0,-52.0,0.0,top
D115,104.0,-52.0,0.0,top
D116,108.0,-52.0,0.0,top
D117,112.0,-52.0,0.0,top
D118,116.0,-52.0,0.0,top
D119,120.0,-52.0,0.0,top
D12,76.0,-40.0,0.0,top
D120,124.0,-52.0,0.0,top
D121,128.0,-52.0,0.0,top
D122,132.0,-52.0,0.0,top
D123,136.0,-52.0,0.0,top
D124,140.0,-52.0,0.0,top
D125,144.0,-52.0,0.0,top
D126,148.0,-52.0,0.0,top
D127,152.0,-52.0,0.0,top
D128,156.0,-52.0,0.0,top
D129,160.0,-52.0,0.0,top
D13,80.0,-40.0,0.0,top
D130,164.0,-52.0,0.0,top
D131,40.0,-56.0,0.0,top
D132,44.0,-56.0,0.0,top
D133,48.0,-56.0,0.0,top
D134,52.0,-56.0,0.0,top
D135,56.0,-56.0,0.0,top
D136,60.0,-56.0,0.0,top
D137,64.0,-56.0,0.0,top
D138,68.0,-56.0,0.0,top
D139,72.0,-56.0,0.0,top
D14,84.0,-40.0,0.0,top
D140,76.0,-56.0,0.0,top
D141,80.0,-56.0,0.0,top
D142,84.0,-56.0,0.0,top
D143,88.0,-56.0,0.0,top
D144,92.0,-56.0,0.0,top
D145,96.0,-56.0,0.0,top
D146,100.0,-56.0,0.0,top
D147,104.0,-56.0,0.0,top
D148,108.0,-56.0,0.0,top
D149,112.0,-56.0,0.0,top
D15,88.0,-40.0,0.0,top
D150,116.0,-56.0,0.0,top
D151,120.0,-56.0,0.0,top
D152,124.0,-56.0,0.0,top
D153,128.0,-56.0,0.0,top
